text,confidence
Lihoving,0.8
Griotha,0.7939139344262295
Vino,1
Borovicka,0.8127254098360673
Cinzano,0.7749282786885254
Dealkoholicke chlazene napoje,0.8
Slivovice,0.7749282786885247
Teple napoje,0.8
Jagermeister,0.8127254098360658
Jack Daniels Honey,0.8125512295081972
Punc,0.7751024590163915
z Griotky,0.8075
Pripravime, ohreieme,0.8
Dobroty,1
Slane,0.8125512295081972
dle nabidky,0.8075
Hry,0.8
Clovece nezlob se,0.8
Bostky,0.8
Karty,0.8
Sachy,1
Oteviraci doba,1
Pondeli,0.8123770491803289
Streda,0.85
Patek,0.8123770491803289
