text,confidence
PIVO CEPOVANE,0.8075
VINA,0.8415
SUDOVE VINO BILE, CERVENE,0.8415
POSTMIX,0.99
COCA-COLA, FANTA, SPRITE, TONIC,0.8075
DZBAN VODY S CITRONEM,0.8075
NEALKO,0.99
PIVO LAHVOVE,0.8075
CAPPY JUNIOR,0.7596875
RADEGAST BIRELL- NEALKO,0.808282894736842
RADEGAST BIRELL- polotmavy, zeleny jecmen,0.824891447368421
LITOVEL CERNY CITRON,0.7916743421052631
TEPLE A STUDENE NAPOJE,0.8415
APERITIVY,0.8415
HORKY FRANCOUZ,0.8415
APEROL SPRITZ,0.7916743421052631
DESTILATY,0.8415
ZELENA, BOROVICKA,0.808282894736842
OSTATNI,0.8415
GRIOTKA, REZNA,0.808282894736842
MANDLOVY RUM,0.7584572368421052
TATRANKA, FIDORKA, LENTILKY,0.8415
MYSLIVEC,0.7750657894736841
HOSPODSKE BRAMBURKY,0.8415
RUM BACCARDI,0.7584572368421052
PIVNICE U MACU,0.8075
RUM LEGENDARIO,0.7750657894736841
RUM DON PAPA,0.7750657894736841
GIN BEEFEATER, BEEFEATER PINK,0.808282894736842
TULLAMORE DEW, JAMESON,0.7584572368421052
